Timestamp,(17) Sorcos vs Saravos,(18) Sorgren vs Sorayla,(19) Farenika vs Claravos,(20) Salvir vs Ibyx,(21) Floreeda vs Lujessa,(22) Raydia vs Ziravos,(23) Momjanne vs Khessanai,(24) Corvia vs Crowcos,(25) Sorcrow vs Soryx,(26) Priestessa vs Sabazi,(27) Pyrren vs Sabos,(28) Runaavos vs Vircrow,(29) Doctorjanne vs Virpeli,(30) Gremaya vs Annai,(31) Aarajanne vs Lirai,(32) Sarex vs Sapeli
23/06/2020 17:29:27,Saravos (Sarai x Aaravos),Sorgren (Soren x Gren),Claravos (Claudia x Aaravos),Salvir (Viren x Saleer),Lujessa (Khessa x Lujanne),Raydia (Rayla x Claudia),Khessanai (Khessa x Janai),I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,Pyrren (Pyrrah x Soren),Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),I don't want to vote for either of these ships
23/06/2020 17:32:56,Saravos (Sarai x Aaravos),Sorayla (Soren x Rayla),Claravos (Claudia x Aaravos),Salvir (Viren x Saleer),Floreeda (Fareeda x Florian),Ziravos (Ziard x Aaravos),Khessanai (Khessa x Janai),Corvia (Corvus x Claudia),I don't want to vote for either of these ships,Priestessa (Khessa x Sunfire Priest),Pyrren (Pyrrah x Soren),Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),Sapeli (Saleer x Opeli)
23/06/2020 17:36:49,Sorcos (Soren x Marcos),Sorayla (Soren x Rayla),Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),I don't want to vote for either of these ships,Ziravos (Ziard x Aaravos),Momjanne (Ellis's mom x Lujanne),Crowcos (Marcos x Crow Master),I don't want to vote for either of these ships,Priestessa (Khessa x Sunfire Priest),Sabos (Sabah x Marcos),Runaavos (Runaan x Aaravos),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Aarajanne (Aaravos x Lujanne),Sarex (Sarai x Callum's dad)
23/06/2020 17:40:02,Saravos (Sarai x Aaravos),Sorgren (Soren x Gren),Claravos (Claudia x Aaravos),Salvir (Viren x Saleer),Floreeda (Fareeda x Florian),Ziravos (Ziard x Aaravos),Khessanai (Khessa x Janai),Crowcos (Marcos x Crow Master),Sorcrow (Soren x Crow Master),Sabazi (Sabah x Kazi),Pyrren (Pyrrah x Soren),Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
23/06/2020 17:43:04,Saravos (Sarai x Aaravos),Sorgren (Soren x Gren),Farenika (Fareeda x Annika),Salvir (Viren x Saleer),Floreeda (Fareeda x Florian),Ziravos (Ziard x Aaravos),Khessanai (Khessa x Janai),I don't want to vote for either of these ships,I don't want to vote for either of these ships,Sabazi (Sabah x Kazi),Sabos (Sabah x Marcos),Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),I don't want to vote for either of these ships
23/06/2020 18:05:02,Sorcos (Soren x Marcos),Sorayla (Soren x Rayla),Farenika (Fareeda x Annika),Ibyx (Ibis x Nyx),Floreeda (Fareeda x Florian),Raydia (Rayla x Claudia),Khessanai (Khessa x Janai),Crowcos (Marcos x Crow Master),Soryx (Soren x Nyx),Sabazi (Sabah x Kazi),Sabos (Sabah x Marcos),Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
23/06/2020 18:12:52,Saravos (Sarai x Aaravos),Sorayla (Soren x Rayla),Claravos (Claudia x Aaravos),Salvir (Viren x Saleer),Floreeda (Fareeda x Florian),Ziravos (Ziard x Aaravos),Khessanai (Khessa x Janai),Corvia (Corvus x Claudia),Sorcrow (Soren x Crow Master),Priestessa (Khessa x Sunfire Priest),Pyrren (Pyrrah x Soren),Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),Sapeli (Saleer x Opeli)
23/06/2020 18:37:59,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,Raydia (Rayla x Claudia),Khessanai (Khessa x Janai),Corvia (Corvus x Claudia),I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),I don't want to vote for either of these ships
23/06/2020 18:44:57,Sorcos (Soren x Marcos),Sorayla (Soren x Rayla),Claravos (Claudia x Aaravos),Salvir (Viren x Saleer),Lujessa (Khessa x Lujanne),Raydia (Rayla x Claudia),Khessanai (Khessa x Janai),Corvia (Corvus x Claudia),Sorcrow (Soren x Crow Master),Sabazi (Sabah x Kazi),Pyrren (Pyrrah x Soren),Runaavos (Runaan x Aaravos),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
23/06/2020 21:12:18,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),Claravos (Claudia x Aaravos),Salvir (Viren x Saleer),I don't want to vote for either of these ships,Raydia (Rayla x Claudia),Khessanai (Khessa x Janai),Corvia (Corvus x Claudia),Sorcrow (Soren x Crow Master),I don't want to vote for either of these ships,Pyrren (Pyrrah x Soren),Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),Annai (Annika x Janai),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
23/06/2020 23:26:46,Sorcos (Soren x Marcos),Sorayla (Soren x Rayla),Claravos (Claudia x Aaravos),Salvir (Viren x Saleer),Floreeda (Fareeda x Florian),Ziravos (Ziard x Aaravos),Khessanai (Khessa x Janai),Corvia (Corvus x Claudia),Soryx (Soren x Nyx),Sabazi (Sabah x Kazi),Sabos (Sabah x Marcos),Vircrow (Viren x Crow Master),Doctorjanne (Animal Doctor x Lujanne),,Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
24/06/2020 06:34:15,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),Farenika (Fareeda x Annika),Salvir (Viren x Saleer),Lujessa (Khessa x Lujanne),Ziravos (Ziard x Aaravos),Khessanai (Khessa x Janai),Crowcos (Marcos x Crow Master),Sorcrow (Soren x Crow Master),Priestessa (Khessa x Sunfire Priest),Pyrren (Pyrrah x Soren),Vircrow (Viren x Crow Master),,,Lirai (Lissa x Sarai),
24/06/2020 11:50:40,I don't want to vote for either of these ships,Sorgren (Soren x Gren),Farenika (Fareeda x Annika),Salvir (Viren x Saleer),Floreeda (Fareeda x Florian),Ziravos (Ziard x Aaravos),I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships
24/06/2020 19:51:08,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),Claravos (Claudia x Aaravos),Salvir (Viren x Saleer),I don't want to vote for either of these ships,Raydia (Rayla x Claudia),Khessanai (Khessa x Janai),Corvia (Corvus x Claudia),Sorcrow (Soren x Crow Master),I don't want to vote for either of these ships,I don't want to vote for either of these ships,Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),Annai (Annika x Janai),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
24/06/2020 21:41:40,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),Lujessa (Khessa x Lujanne),I don't want to vote for either of these ships,Momjanne (Ellis's mom x Lujanne),Crowcos (Marcos x Crow Master),Soryx (Soren x Nyx),Sabazi (Sabah x Kazi),Sabos (Sabah x Marcos),Runaavos (Runaan x Aaravos),I don't want to vote for either of these ships,Gremaya (Gren x Amaya),I don't want to vote for either of these ships,Sarex (Sarai x Callum's dad)
24/06/2020 21:48:04,Saravos (Sarai x Aaravos),Sorgren (Soren x Gren),Claravos (Claudia x Aaravos),I don't want to vote for either of these ships,I don't want to vote for either of these ships,Ziravos (Ziard x Aaravos),I don't want to vote for either of these ships,Corvia (Corvus x Claudia),Sorcrow (Soren x Crow Master),Sabazi (Sabah x Kazi),Pyrren (Pyrrah x Soren),Runaavos (Runaan x Aaravos),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
24/06/2020 21:49:33,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),I don't want to vote for either of these ships,Ibyx (Ibis x Nyx),Floreeda (Fareeda x Florian),Raydia (Rayla x Claudia),Momjanne (Ellis's mom x Lujanne),Crowcos (Marcos x Crow Master),Soryx (Soren x Nyx),Priestessa (Khessa x Sunfire Priest),Sabos (Sabah x Marcos),I don't want to vote for either of these ships,Doctorjanne (Animal Doctor x Lujanne),Gremaya (Gren x Amaya),I don't want to vote for either of these ships,Sarex (Sarai x Callum's dad)
24/06/2020 21:53:49,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),Claravos (Claudia x Aaravos),Salvir (Viren x Saleer),Floreeda (Fareeda x Florian),Raydia (Rayla x Claudia),Momjanne (Ellis's mom x Lujanne),Crowcos (Marcos x Crow Master),Soryx (Soren x Nyx),Priestessa (Khessa x Sunfire Priest),Sabos (Sabah x Marcos),Runaavos (Runaan x Aaravos),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
24/06/2020 22:00:28,Saravos (Sarai x Aaravos),I don't want to vote for either of these ships,Claravos (Claudia x Aaravos),Ibyx (Ibis x Nyx),I don't want to vote for either of these ships,Ziravos (Ziard x Aaravos),I don't want to vote for either of these ships,Corvia (Corvus x Claudia),Soryx (Soren x Nyx),Priestessa (Khessa x Sunfire Priest),Sabos (Sabah x Marcos),Runaavos (Runaan x Aaravos),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),I don't want to vote for either of these ships,Sarex (Sarai x Callum's dad)
24/06/2020 22:02:23,Sorcos (Soren x Marcos),Sorgren (Soren x Gren),Claravos (Claudia x Aaravos),Salvir (Viren x Saleer),I don't want to vote for either of these ships,Ziravos (Ziard x Aaravos),Khessanai (Khessa x Janai),Crowcos (Marcos x Crow Master),Sorcrow (Soren x Crow Master),I don't want to vote for either of these ships,Pyrren (Pyrrah x Soren),Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),Annai (Annika x Janai),Lirai (Lissa x Sarai),Sarex (Sarai x Callum's dad)
24/06/2020 22:31:39,Sorcos (Soren x Marcos),Sorayla (Soren x Rayla),Claravos (Claudia x Aaravos),I don't want to vote for either of these ships,Lujessa (Khessa x Lujanne),I don't want to vote for either of these ships,Khessanai (Khessa x Janai),Crowcos (Marcos x Crow Master),Sorcrow (Soren x Crow Master),Priestessa (Khessa x Sunfire Priest),Sabos (Sabah x Marcos),I don't want to vote for either of these ships,Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),I don't want to vote for either of these ships,Sarex (Sarai x Callum's dad)
24/06/2020 22:35:53,Saravos (Sarai x Aaravos),Sorayla (Soren x Rayla),Claravos (Claudia x Aaravos),Salvir (Viren x Saleer),Floreeda (Fareeda x Florian),Ziravos (Ziard x Aaravos),Khessanai (Khessa x Janai),Corvia (Corvus x Claudia),Sorcrow (Soren x Crow Master),Priestessa (Khessa x Sunfire Priest),Pyrren (Pyrrah x Soren),Vircrow (Viren x Crow Master),Virpeli (Opeli x Viren),Gremaya (Gren x Amaya),Lirai (Lissa x Sarai),Sapeli (Saleer x Opeli)
24/06/2020 22:35:59,Saravos (Sarai x Aaravos),Sorgren (Soren x Gren),Claravos (Claudia x Aaravos),I don't want to vote for either of these ships,I don't want to vote for either of these ships,I don't want to vote for either of these ships,Momjanne (Ellis's mom x Lujanne),Crowcos (Marcos x Crow Master),Soryx (Soren x Nyx),Sabazi (Sabah x Kazi),Sabos (Sabah x Marcos),Vircrow (Viren x Crow Master),Doctorjanne (Animal Doctor x Lujanne),Annai (Annika x Janai),Lirai (Lissa x Sarai),Sapeli (Saleer x Opeli)
